latitude,longitude,weighted_velocity,mean_incidence_angle,mean_track_angle
65.405,-16.555000000000128,8.449509744113072,41.712823529411764,349.3596470588236
65.405,-16.55000000000013,8.40303001628106,41.724555555555554,349.36000000000007
65.405,-16.54500000000013,8.50410346980003,41.735531914893606,349.366914893617
65.405,-16.54000000000013,8.247841931683912,41.749014084507046,349.36999999999983
65.405,-16.53500000000013,7.987475146269075,41.76173333333334,349.3756
65.405,-16.530000000000133,8.04836422192336,41.774239130434786,349.3800000000001
65.405,-16.525000000000134,7.403118205569161,41.785256410256416,349.3829487179488
65.405,-16.520000000000135,7.522320223701315,41.798750000000005,349.38999999999993
65.405,-16.515000000000136,8.176578344308679,41.811904761904756,349.3911904761904
65.405,-16.510000000000137,7.722209780746494,41.824124999999995,349.40000000000003
65.405,-16.505000000000138,7.459135445060346,41.83511627906977,349.40000000000015
